Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Human papillomavirus infection,62/331,1.4636822756739674e-05,0.0002118854341928029,0,0,1.9079013817773725,21.238701131491798,GSK3B;WNT2B;MAML2;LAMC3;PTEN;OASL;CCND2;HEY1;CCND1;AKT3;HEY2;TNR;PRKACA;MAGI1;PDGFRB;VWF;ITGA1;AXIN2;HLA-E;COL4A2;COL4A4;MFNG;COL6A2;COL4A3;COL6A1;COL4A6;ITGA8;COL4A5;ITGA7;COL6A6;ITGA6;COL6A5;ITGA5;TLR3;CREB5;ITGA9;PTGER4;LAMA2;NOTCH4;LAMA4;PXN;LAMA3;PIK3R3;PIK3R1;PTGS2;FOXO1;PPP2CA;ATP6V0A2;WNT2;FZD1;TCF7L2;TCF7L1;JAG1;FZD4;LAMB2;FZD7;FZD8;LAMB1;HEYL;CDK6;APC;FAS
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,22/77,1.6094749498624617e-05,0.00022240017489008563,0,0,3.2894444444444444,36.30565575801952,TCF7L2;TCF7L1;LAMA2;ACTN2;CACNA2D1;ITGA1;CACNA2D2;CACNA1D;CACNA1C;SLC8A1;GJA1;SGCD;DES;SGCA;SGCB;ITGA8;ITGA7;ITGA6;DMD;ITGA5;SGCG;ITGA9
KEGG_2021_Human,Relaxin signaling pathway,31/129,1.6983286861720897e-05,0.0002244747480853545,0,0,2.605907076917238,28.62140922513991,SHC3;ADCY4;PIK3R3;ARRB1;PIK3R1;RXFP1;GNAI1;GNAI2;EDNRB;GNG2;GNG7;AKT3;NOS1;PRKACA;JUN;EDN1;TGFB1;VEGFC;FOS;GNG12;GNG11;TGFBR2;ACTA2;ADCY9;PLCB4;COL4A2;COL4A4;COL4A3;COL4A6;COL4A5;CREB5
KEGG_2021_Human,Regulation of actin cytoskeleton,45/218,1.8319680056910465e-05,0.00023204928072086584,0,0,2.147749126997222,23.42664805017861,PXN;PDGFB;PIK3R3;PIK3R1;ITGAL;FGF2;MYLK;FGF7;RRAS;CFL2;MYH14;PIP5K1B;MYH11;MYH10;WASF2;PDGFRB;ACTR3;PDGFRA;GSN;ARHGEF12;RDX;F2R;ITGA1;MSN;ACTN4;GNG12;ENAH;TIAM1;DIAPH2;MRAS;CXCL12;ABI2;APC;ITGA8;ITGA7;ITGA6;ITGA5;FGFR4;PPP1R12B;MYL9;VCL;FGFR2;ARHGEF6;FGFR1;ITGA9
KEGG_2021_Human,Ras signaling pathway,46/232,4.289536856424467e-05,0.0005216076817412152,0,0,2.0414804075550723,20.530651345126035,SHC3;FLT1;PLA2G1B;FLT4;RASGRF1;PDGFB;PIK3R3;PIK3R1;PLA2G5;FOXO4;RASGRP2;ETS1;FGF2;ETS2;FGF7;RAP1A;GNG2;RRAS;GNG7;AKT3;KDR;PLCE1;PRKACA;PDGFRB;PDGFRA;NTRK2;ANGPT1;PRKCB;BDNF;HGF;PLA2G4C;IGF2;GAB1;VEGFC;GAB2;GNG12;GNG11;TIAM1;MRAS;TEK;CALM1;RAPGEF5;FGFR4;FGFR2;PLA1A;FGFR1
KEGG_2021_Human,MAPK signaling pathway,55/294,4.496059092504709e-05,0.0005256930631236275,0,0,1.901916581587991,19.037660450437645,FLT1;FLT4;RASGRF1;ARRB1;FGF2;FGF7;RPS6KA2;AKT3;KDR;PRKACA;PDGFRB;PDGFRA;MEF2C;PRKCB;DUSP1;CACNA2D1;HGF;PLA2G4C;CACNA2D2;FOS;TGFBR2;PPM1A;MRAS;RAPGEF2;PDGFB;CACNA1D;CACNA1C;RASGRP2;RAP1A;RRAS;ERBB4;MKNK2;FLNA;MAP2K5;MAP3K3;NTRK2;JUN;TGFB2;JUND;TGFB1;GADD45B;ANGPT1;BDNF;IGF2;NFATC3;VEGFC;HSPA2;GNG12;NR4A1;FAS;TEK;FGFR4;LAMTOR3;FGFR2;FGFR1
KEGG_2021_Human,Cell adhesion molecules,33/148,4.7304943124890433e-05,0.0005326186188876552,0,0,2.363886135108342,23.54169561305311,CD274;SELPLG;SDC2;ICAM2;NRXN3;PTPRM;ITGAL;CLDN22;CDH5;HLA-DOA;CD34;NEO1;JAM2;HLA-DPA1;JAM3;NTNG1;NLGN4X;CADM1;NEGR1;SELE;HLA-E;SELP;CLDN11;CLDN5;CD4;NFASC;CNTN1;ITGA8;PECAM1;CLDN18;ESAM;ITGA6;ITGA9
KEGG_2021_Human,Axon guidance,38/182,6.120291048345034e-05,0.0006644887423917466,0,0,2.17536017827529,21.103856095727867,SEMA5A;ROBO2;GSK3B;NRP1;BMPR2;NTN4;SEMA3G;PIK3R3;SEMA3E;PIK3R1;GNAI1;GNAI2;EFNB2;ABLIM1;RRAS;ABLIM3;CFL2;DPYSL2;PLXNA2;FYN;SLIT3;SLIT2;NEO1;NCK1;NTNG1;SEMA6A;ARHGEF12;TRPC6;DCC;SEMA6D;PTCH1;TRPC1;NFATC3;UNC5C;ENAH;CXCL12;MYL9;EPHA3
KEGG_2021_Human,Breast cancer,32/147,9.933372740381372e-05,0.0010412914872675,0,0,2.291187057633974,21.11792929028488,GSK3B;SHC3;WNT2B;NOTCH4;FLT4;PTEN;PIK3R3;PIK3R1;FGF2;DLL1;FGF7;CCND1;HEY1;AKT3;HEY2;WNT2;FZD1;TCF7L2;JUN;TCF7L1;JAG1;GADD45B;FZD4;FZD7;FZD8;AXIN2;FOS;HEYL;CDK6;APC;PGR;FGFR1
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,31/143,0.00013717715503437002,0.0013900618376816,0,0,2.278367204622435,20.26433872261731,GSK3B;BMPR2;WNT2B;PIK3R3;PIK3R1;FGF2;AKT3;JAK2;WNT2;FZD1;LEFTY1;FZD4;PCGF5;FZD7;FZD8;SMAD9;LIFR;AXIN2;KLF4;TBX3;BMP4;MEIS1;APC;ID2;ID1;ID4;ID3;IL6ST;FGFR4;FGFR2;FGFR1
