Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Pulmonary Valve Development (GO:0003177),10/20,1.538478439798905e-05,0.0004517056425967397,0,0,8.19889502762431,90.86123336792345,ROBO2;BMP4;HEYL;TGFB2;BMPR2;JAG1;HEY1;HEY2;SLIT2;SMAD6
GO_Biological_Process_2023,Response To Fibroblast Growth Factor (GO:0071774),10/20,1.538478439798905e-05,0.0004517056425967397,0,0,8.19889502762431,90.86123336792345,NR4A1;SFRP1;ZFP36;EGR3;HYAL1;HYAL2;NDNF;ZFP36L2;CD44;IER2
GO_Biological_Process_2023,Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393),19/61,1.5619345975097117e-05,0.0004542454943651157,0,0,3.717764128305044,41.14449666908304,ACVRL1;GDF10;LEFTY1;TGFB2;BMPR2;TGFB1;LRP1;SMAD6;BMP6;TGFBR2;BMP5;SMAD7;BMP4;BMP2;DAB2;SNX25;EMILIN1;PPARG;ENG
GO_Biological_Process_2023,Negative Regulation Of Wound Healing (GO:0061045),12/28,1.5681783748934717e-05,0.0004542454943651157,0,0,6.152764976958525,68.06810532851084,THBD;EDN1;MMRN1;ALOX5;APOH;CD109;PTEN;TFPI;MYOZ1;FGF2;PHLDB2;CLASP2
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),28/111,1.6423196596233757e-05,0.0004725501100622993,0,0,2.777572686288329,30.6000066445438,CDKN1C;CITED2;TGFB1I1;LTBP4;PEG10;SAP30L;SNX25;PRDM16;EMILIN1;CDKN2B;TGFB1;CAV1;SMAD6;DKK3;SMAD7;FKBP1A;SKI;PPM1A;BMP2;DAB2;ZEB2;LATS2;CD109;VEPH1;PPARG;SPRY1;FOLR1;ENG
GO_Biological_Process_2023,Muscle Contraction (GO:0006936),25/94,1.7321237536444608e-05,0.0004950891470681784,0,0,2.981361660384458,32.68638874289163,LMOD1;SLC8A1;MYLK;TTN;GJC1;EDNRA;SGCA;SCN7A;APBB2;MYH11;NOS1;TMOD1;DTNA;TPM4;TPM2;TMOD2;KLHL41;SMTN;DES;TNNT2;FXYD1;CASQ2;SSPN;UTRN;CRYAB
GO_Biological_Process_2023,Second-Messenger-Mediated Signaling (GO:0019932),21/72,1.762476222374861e-05,0.0005004504852480198,0,0,3.385388028418216,37.05715373408769,P2RY12;EDN1;MCTP1;LRRK2;FPR1;NDNF;FPR2;SELE;NCALD;CNKSR2;PPP2CA;RCAN1;FCGR3A;EDNRB;INPP5A;RCAN2;AGTR1;PLCE1;CD36;NOS1;AGTR2
GO_Biological_Process_2023,Protein Localization To Membrane (GO:0072657),41/192,1.839627716144368e-05,0.0005189433479005942,0,0,2.240541802895843,24.42943889532353,PIGR;RAMP2;RAMP3;LIN7A;PTN;ITGAL;ZDHHC2;ZDHHC3;PRAM1;NKD2;SLC9A3R2;RAP1A;TMEM88;EPB41L3;P2RY1;INPP5K;FLNA;SPTBN1;RAB8B;CLASP2;ACTN2;CAV1;PTCH1;MAGI2;RDX;TTC7B;ANK2;EMP2;ANK3;EFR3B;RAB11A;EHD1;EHD2;ANO1;TSPAN14;RAPGEF2;TNIK;GAS6;RAPGEF6;SHANK3;FERMT2
GO_Biological_Process_2023,Cell Junction Assembly (GO:0034329),25/95,2.1098012815263116e-05,0.0005912923591602312,0,0,2.938605205642758,31.637998383083996,GPM6A;PTEN;ZDHHC2;CDH6;GJC1;CDH5;FLRT3;SPOCK2;GJA4;SLITRK6;BDNF;MYO9A;PCDHB10;DNM3;TJP1;CLDN5;CDH11;PCDHB16;CDH13;ITGA6;DCHS1;PCDHB4;TLN1;SHANK3;SHANK2
GO_Biological_Process_2023,Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706),9/17,2.309578422744365e-05,0.0006403563269605519,0,0,9.2205476300046,98.4372798449017,BMP4;CNN1;MEF2C;EFEMP2;GPER1;PTEN;PPARG;PRKG1;APLN
GO_Biological_Process_2023,Protein Localization To Plasma Membrane (GO:0072659),32/137,2.314540940821272e-05,0.0006403563269605519,0,0,2.51081284606866,26.799698464480464,RAMP2;RAMP3;ZDHHC2;ZDHHC3;PRAM1;NKD2;SLC9A3R2;RAP1A;TMEM88;EPB41L3;P2RY1;INPP5K;FLNA;SPTBN1;RAB8B;CLASP2;ACTN2;PTCH1;RDX;TTC7B;ANK2;EMP2;ANK3;EFR3B;RAB11A;EHD1;EHD2;TSPAN14;RAPGEF2;TNIK;GAS6;RAPGEF6
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),82/480,2.502350824750124e-05,0.0006843456913401209,0,0,1.709069155300311,18.10877523861396,GSK3B;CALCOCO1;PID1;SPI1;BMPR2;TFRC;CITED2;CLU;FGF2;ETS1;ACTG2;CDH5;GJA1;FGF7;LAMP3;GPER1;CTSH;EMILIN1;CD36;CD34;HOXA5;MEF2C;SLC11A1;CIRBP;MITF;ANK2;ANK3;ACTA2;FGR;CLDN5;KAT2B;OLFM1;TYROBP;PPARG;PGR;ADTRP;GAS6;TLR4;RBM24;TLR3;RBMS3;PTGER4;RAMP2;SLC24A3;RAMP3;PDGFB;PIK3R3;PIK3R1;GATA2;DLL1;PPM1F;TTN;FXR1;PPARGC1A;NTRK2;EGR1;CD74;IL33;GSN;TGFB1;CADM1;ANGPT1;ODAM;EPHX2;RDX;PDE2A;CRTAM;SAMD4A;MSN;KLF4;LARP6;BMP6;BMP4;BMP2;IL6;RGCC;ID2;CNTN1;TMEM119;VIM;FGFR4;PF4
GO_Biological_Process_2023,Positive Regulation Of Endocytosis (GO:0045807),22/79,2.505250677287746e-05,0.0006843456913401209,0,0,3.1736679662118257,33.623541629509056,TUB;HIP1;FCER1G;LRP1;CCL21;SGIP1;SLC11A1;SFTPD;NEDD4L;FPR2;PLA2G5;GATA2;CLU;DLL1;SIRPB1;RAB21;DAB2;GPC3;SIRPA;CD47;GAS6;SNCA
GO_Biological_Process_2023,Regulation Of Platelet Aggregation (GO:0090330),11/25,2.637031660543822e-05,0.0007147571486298992,0,0,6.443508587221162,67.93566077883389,IL6;DMTN;MMRN1;PDPN;CTSG;EMILIN1;PRKCQ;JAK2;IL6ST;SH2B3;PRKG1
GO_Biological_Process_2023,Regulation Of Cell-Substrate Junction Assembly (GO:0090109),10/21,2.649702126524186e-05,0.0007147571486298992,0,0,7.45312238406161,78.54456803747439,MACF1;LIMCH1;PEAK1;DAPK3;FYN;TLN1;EPHA3;GPM6B;VCL;CORO1C
GO_Biological_Process_2023,Regulation Of Kinase Activity (GO:0043549),23/85,2.746839412193265e-05,0.0007363576958401324,0,0,3.0509046900446743,32.042048766804434,CDKN1C;PDGFRB;PDGFRA;CD74;NTRK2;FLT1;FLT4;TIE1;EMP2;LDB2;TTN;FGR;CD4;ERBB4;KDR;PLCE1;ROR1;TEK;FGFR4;ROS1;FGFR2;DDR2;FGFR1
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),153/1025,3.0060868349373465e-05,0.0008008809123203448,0,0,1.4654132057641265,15.258301826949593,SPI1;PRDM6;WWC1;PRDM5;ZBTB20;PRDM2;ETS2;ZFP36;DACH1;EDNRB;ZNF608;CCND1;SOX18;WWC3;MYOZ1;SOX7;MEF2A;MEF2C;FST;SOX13;RFX3;MITF;FOXP2;HIC1;FOXP1;DKK3;EID1;SFRP1;ZFPM2;ATF3;TSHZ3;NOTCH4;GATA6;PDGFB;TWIST2;GATA3;GATA2;FOXO3;PRDM11;ZNF25;ZBTB4;FOXO1;HMBOX1;NACC2;PRDM16;TPR;ZBED2;NDN;INPP5K;ZNF423;MAP2K5;CBX7;JUN;UBE2I;JUND;TGFB1;WFS1;ZBTB16;CAV1;PTCH1;PDE2A;NR2F1;IGF2;NFATC3;NR2F2;FOXN3;SMARCA2;BMP6;SMAD7;BMP4;NR4A2;BMP2;DAB2;NR4A3;ID2;ID1;MAFF;ZNF658;ID4;ID3;FGFR2;CDKN1C;THRB;THRA;CITED2;TCF21;HMGB1;LDB2;LIMD1;MECP2;HHEX;LBH;HEY1;HEY2;LRRFIP1;KLF11;USP47;LEFTY1;EDN1;ZHX3;PEG3;CBFA2T3;SREBF2;ETV5;PPM1A;ZEB2;CRY2;XCL1;PPARG;GAS6;CRYAB;FBP1;JDP2;KANK2;FOXC2;CEBPA;NFIX;ZBTB46;SATB1;PRICKLE1;PPM1F;PURA;TCEAL7;CCDC85B;DNAJB4;SAP30L;ATOH8;FLNA;SAP18;APBB2;RUNX1T1;JAZF1;SNCA;IRX1;SMARCE1;IL33;IRX2;TCF7L2;CNBP;DAB2IP;WWP2;KLF4;MEIS2;TBX3;KLF2;TBX2;SKI;HEYL;PER3;NFIB;BCL6B;NFIC;FOSB
GO_Biological_Process_2023,Negative Regulation Of Ras Protein Signal Transduction (GO:0046580),13/34,3.038044670824468e-05,0.0008044294968882457,0,0,5.07938703374388,52.83431779488729,KANK1;TGFB2;MYOC;CUL3;HEG1;SPRY4;DAB2IP;RASIP1;ARHGAP24;ARHGAP44;SPRY1;FBP1;SCAI
