Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Circadian rhythm,2/31,0.7351904108000179,0.9999912520913647,0,0,0.7707737594617325,0.2371098566110564,PRKAA1;CSNK1D
KEGG_2021_Human,Long-term depression,4/60,0.7367393030704402,0.9999912520913647,0,0,0.7980987266701552,0.2438360619722625,GNAS;PLA2G4A;PRKCA;BRAF
KEGG_2021_Human,Gap junction,6/88,0.7390374581225507,0.9999912520913647,0,0,0.8174011568966545,0.2471875633312932,TUBB2B;EGF;CDK1;GNAS;CSNK1D;PRKCA
KEGG_2021_Human,Proteasome,3/46,0.7400020635398243,0.9999912520913647,0,0,0.779616044950835,0.2347441875419533,PSMB7;PSMB4;PSMA3
KEGG_2021_Human,Thyroid hormone synthesis,5/75,0.7476769173424312,0.9999912520913647,0,0,0.7979753905227333,0.2320387337056596,GPX2;CREB3L4;GNAS;PRKCA;PDIA4
KEGG_2021_Human,Arachidonic acid metabolism,4/61,0.7485257343270396,0.9999912520913647,0,0,0.7840541524752052,0.2271010457476793,CYP2J2;GPX2;PLA2G4A;PTGES
KEGG_2021_Human,Nucleotide excision repair,3/47,0.7532231104274232,0.9999912520913647,0,0,0.7618558988296633,0.2159052379785002,RFC4;POLE2;RAD23B
KEGG_2021_Human,Protein processing in endoplasmic reticulum,12/171,0.7552384942006322,0.9999912520913647,0,0,0.8426438245167265,0.2365484012302583,SEC24A;SSR4;SAR1B;DERL3;DNAJC10;NGLY1;STT3A;SEC24D;PDIA6;RAD23B;UGGT1;PDIA4
KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,5/76,0.7580373447277609,0.9999912520913647,0,0,0.7866932812513443,0.217931839496129,ALDH3B2;UGT1A1;AKR1C1;MGST1;UGT1A6
KEGG_2021_Human,Bile secretion,6/90,0.7583866949128468,0.9999912520913647,0,0,0.7978519035976249,0.2206554158963366,ABCC3;UGT1A1;SLCO1B3;SLC2A1;GNAS;UGT1A6
KEGG_2021_Human,SNARE interactions in vesicular transport,2/33,0.7663502964424859,0.9999912520913647,0,0,0.7209677419354839,0.1918609850772474,SNAP23;VAMP1
KEGG_2021_Human,Selenocompound metabolism,1/17,0.767052086895383,0.9999912520913647,0,0,0.698583180987203,0.1852646578027507,TXNRD1
KEGG_2021_Human,Morphine addiction,6/91,0.767657446489928,0.9999912520913647,0,0,0.7884222637710341,0.2084680541723405,GABBR1;PDE4D;GNAS;PRKCA;GABRE;PDE7A
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,5/77,0.7680748240094861,0.9999912520913647,0,0,0.7757245639041608,0.204688985018216,DSP;JUP;PKP2;ATP2A2;DSG2
KEGG_2021_Human,Bacterial invasion of epithelial cells,5/77,0.7680748240094861,0.9999912520913647,0,0,0.7757245639041608,0.204688985018216,ACTR2;CTTN;CDH1;ELMO3;PTK2
KEGG_2021_Human,Cocaine addiction,3/49,0.7780364642461255,0.9999912520913647,0,0,0.7286521473857336,0.1828784906924033,CREB3L4;GNAS;CDK5R1
KEGG_2021_Human,Cytokine-cytokine receptor interaction,21/295,0.7835537420706017,0.9999912520913647,0,0,0.8550277606415793,0.2085546325392646,CXCL6;TNFSF15;CCL20;IL37;TNFRSF9;IL31RA;LIF;IL20RB;IL1RAP;OSMR;CXCL13;CXCL14;TGFBR1;TNFSF4;IL2RA;TNFSF11;CD27;TNFRSF17;CCR7;TNFRSF25;TNFRSF21
KEGG_2021_Human,Salivary secretion,6/93,0.7853997574680628,0.9999912520913647,0,0,0.7702133041058933,0.1860546094033655,CST1;GNAS;CD38;PRKCA;KCNN4;MUC5B
KEGG_2021_Human,Thyroid hormone signaling pathway,8/121,0.7861009201537894,0.9999912520913647,0,0,0.7905027025270523,0.1902503626120768,KAT2A;STAT1;DIO2;SLC2A1;ATP2A2;PRKCA;PFKP;MED13L
KEGG_2021_Human,Fatty acid biosynthesis,1/18,0.7861932607588094,0.9999912520913647,0,0,0.6574542065455067,0.1581523437146451,CBR4
KEGG_2021_Human,N-Glycan biosynthesis,3/50,0.7896523373377732,0.9999912520913647,0,0,0.7131099658587878,0.1684098392319079,FUT8;SRD5A3;STT3A
KEGG_2021_Human,Estrogen signaling pathway,9/137,0.8016527628161058,0.9999912520913647,0,0,0.7849337875076546,0.1735329489790774,GABBR1;KRT19;KRT18;CREB3L4;KRT15;GNAS;TGFA;TFF1;MMP9
KEGG_2021_Human,Glycosaminoglycan degradation,1/19,0.8037624832399983,0.9999912520913647,0,0,0.6208951181528878,0.1356354527066409,HPSE
KEGG_2021_Human,PI3K-Akt signaling pathway,25/354,0.8123345780650086,0.9999912520913647,0,0,0.8472385914852263,0.1760925950947864,PRKAA1;TGFA;EFNA5;THBS2;EFNA4;COMP;BCL2L11;IBSP;CREB3L4;CD19;SPP1;EIF4EBP1;SYK;EGF;PRKCA;IGH;PPP2R5C;OSMR;PTK2;COL1A1;COL1A2;CCNE2;PPP2R2C;CCNE1;IL2RA
KEGG_2021_Human,Aldosterone-regulated sodium reabsorption,2/37,0.8191956544551156,0.9999912520913647,0,0,0.6384320557491289,0.1273239919977448,SFN;PRKCA
KEGG_2021_Human,Retinol metabolism,4/68,0.8199148154285545,0.9999912520913647,0,0,0.6980311355311355,0.1385974518752144,CYP27C1;UGT1A1;RDH10;UGT1A6
KEGG_2021_Human,TNF signaling pathway,7/112,0.8227445409311096,0.9999912520913647,0,0,0.7442609582059123,0.1452124030212903,CXCL6;CREB3L4;CCL20;TRAF5;LIF;MMP9;MAPK13
KEGG_2021_Human,Pantothenate and CoA biosynthesis,1/21,0.8346905809048887,0.9999912520913647,0,0,0.5587446678854358,0.10096191216138,ENPP3
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,4/70,0.8369500622723258,0.9999912520913647,0,0,0.6768046768046768,0.1204650552950028,PAK1;ATP6V0A4;ATP6V1C2;MAPK13
KEGG_2021_Human,Various types of N-glycan biosynthesis,2/39,0.841378213346451,0.9999912520913647,0,0,0.60385629531971,0.1042944370942522,FUT8;STT3A
KEGG_2021_Human,Insulin secretion,5/86,0.8445325277768093,0.9999912520913647,0,0,0.689193571498601,0.1164544342713966,CREB3L4;SLC2A1;GNAS;PRKCA;KCNN4
KEGG_2021_Human,Adherens junction,4/71,0.8449490193533218,0.9999912520913647,0,0,0.6666666666666666,0.112319323714177,SMAD4;CDH1;PTPRF;TGFBR1
KEGG_2021_Human,Terpenoid backbone biosynthesis,1/22,0.8482766169120746,0.9999912520913647,0,0,0.5321087606279562,0.0875576969044829,FNTA
