Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Regulation
226444_at,6.7245991615851075,3.6413826446599997,3.083216516925108,17.147661341770696,7.582830199575882e-39,5.338352161183094e-37,Upregulated
229151_at,2.692226010723404,6.31673787871,-3.6245118679865955,-17.800917920213585,7.937865606740076e-39,5.580993980707473e-37,Downregulated
203329_at,8.380457582159572,9.99321430666,-1.6127567245004286,-18.96458877781735,8.083781023826103e-39,5.67616509330954e-37,Downregulated
201904_s_at,7.18152138937234,8.766087593770001,-1.5845662043976612,-17.475447402281286,9.469668653433647e-39,6.640620576187511e-37,Downregulated
207358_x_at,9.901324500829789,11.137513879750001,-1.236189378920212,-17.068692726802027,9.94642730541849e-39,6.9658663938702976e-37,Downregulated
212226_s_at,9.448793404680849,11.11718134349,-1.6683879388091505,-17.00267605102642,1.0063536017686531e-38,7.038717142357448e-37,Downregulated
206480_at,5.607258143393617,6.99368592562,-1.3864277822263835,-16.750574387731945,1.0337509032730062e-38,7.220951439408041e-37,Downregulated
227006_at,7.04648797055319,10.51247291795,-3.4659849473968096,-19.449948707931426,1.0594292634077968e-38,7.390721447685053e-37,Downregulated
204742_s_at,5.843440089659575,7.379833745319998,-1.5363936556604232,-17.43851276168223,1.1461825185820017e-38,7.985566443581805e-37,Downregulated
227618_at,3.797876536297873,6.21809746264,-2.4202209263421275,-18.024195087048916,1.1818538265006273e-38,8.223439833397507e-37,Downregulated
1552309_a_at,6.76639079357447,9.386117593589999,-2.6197268000155294,-18.405599993480482,1.2868782873459116e-38,8.931101362991897e-37,Downregulated
228724_at,2.698127883212766,4.7213551167,-2.023227233487234,-16.719763484858536,1.3557478911309827e-38,9.396940215511732e-37,Downregulated
225676_s_at,10.525237843000001,9.073346577459999,1.4518912655400023,18.81544496708427,1.361317101571677e-38,9.423397892552666e-37,Upregulated
223381_at,7.204169663787234,3.4802779992100006,3.7238916645772338,19.088097396729935,1.4144430117222629e-38,9.778564502377074e-37,Upregulated
225776_at,7.302533037702129,9.015353647620001,-1.7128206099178724,-17.48106354311258,1.4164042261650652e-38,9.779552979270115e-37,Downregulated
212378_at,8.69141524619149,7.621243935459998,1.0701713107314914,17.35573127256759,1.4469770625811992e-38,9.977834395896459e-37,Upregulated
236644_at,4.455528267893617,6.507234108029999,-2.051705840136382,-17.06117142617856,1.5342605035404155e-38,1.0566163309017258e-36,Downregulated
1558290_a_at,7.629341783212764,5.275367844489999,2.353973938722765,17.8868018286444,1.5491786485511334e-38,1.0641650420302843e-36,Upregulated
220990_s_at,12.20398251617021,10.941387697400003,1.2625948187702072,17.321662415560183,1.5477943899198796e-38,1.0641650420302843e-36,Upregulated
213451_x_at,6.1080773956489365,9.75895689242,-3.650879496771064,-19.168193466364617,1.8370695063640446e-38,1.2603140365981697e-36,Downregulated
213362_at,3.6844540491595743,5.835089343879999,-2.150635294720425,-16.624487141922902,1.8435838928809456e-38,1.2631720160827329e-36,Downregulated
201348_at,11.099584882021277,14.027830156100002,-2.9282452740787246,-19.993298870582603,1.9267764554969078e-38,1.3184936187704414e-36,Downregulated
220266_s_at,5.683868563446809,9.14066554782,-3.4567969843731907,-17.419089125061053,1.9549545679619566e-38,1.3360760659771513e-36,Downregulated
211562_s_at,4.192069038372342,5.89127852351,-1.6992094851376578,-16.664359684093583,2.1935573549835552e-38,1.4972420798876332e-36,Downregulated
241962_at,4.2855764684148925,6.23557805629,-1.9500015878751071,-17.76567508399237,2.3744087879929707e-38,1.6186305585676795e-36,Downregulated
225778_at,6.654097595170215,8.2524917563,-1.598394161129785,-17.25138819475947,2.3795021717725187e-38,1.6200494153285658e-36,Downregulated
240806_at,4.020386268414894,5.91267854082,-1.892292272405106,-16.392171546893955,2.443561689182719e-38,1.6615601645307423e-36,Downregulated
203514_at,7.0493945271170215,8.670279126919997,-1.6208845998029755,-18.472875201445646,2.4734257171536785e-38,1.6797433790761078e-36,Downregulated
218296_x_at,7.007632854531915,5.747359121450001,1.260273733081914,18.31027460705505,2.5042951179674666e-38,1.69856263827236e-36,Upregulated
209493_at,7.23557353369149,10.25042318855,-3.0148496548585104,-19.17225448683448,2.606256328801658e-38,1.7654924798605285e-36,Downregulated
213675_at,6.821983124297875,8.530265978729998,-1.7082828544321238,-17.580298305619504,2.620565040431872e-38,1.772952342951807e-36,Downregulated
225575_at,9.397976400553194,11.81266626092,-2.4146898603668063,-17.52439302292349,2.67555892183486e-38,1.8078845749976103e-36,Downregulated
207496_at,4.339552680904256,7.3713844466000005,-3.0318317656957445,-17.312011470708967,2.7248251832944664e-38,1.8388638307236658e-36,Downregulated
218346_s_at,7.801656452744681,9.43587198901,-1.6342155362653186,-18.71773186256735,2.762318643966733e-38,1.8618304584510615e-36,Downregulated
