Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Significant,Regulation,Gene Symbol,Gene Title,Display_Name
218590_at,3.9380894791914893,2.8479996342800002,1.090089844911489,9.813239170262529,1.6776492698873428e-16,1.5544193562473836e-15,True,Upregulated,C10orf2,chromosome 10 open reading frame 2,C10orf2
214469_at,3.3290273563510637,2.23897824479,1.0900491115610635,7.236573108062671,1.264283191895954e-10,6.552393116141432e-10,True,Upregulated,HIST1H2AE,"histone cluster 1, H2ae",HIST1H2AE
222441_x_at,9.62366888081915,8.53406196979,1.0896069110291489,13.77529785657316,1.2006604441345575e-29,3.554139936610969e-28,True,Upregulated,SLMO2,slowmo homolog 2 (Drosophila),SLMO2
1559331_x_at,3.7649587368936164,2.67536076612,1.0895979707736165,6.770835695574521,1.0401413821868941e-09,4.913062648836769e-09,True,Upregulated,CTD-2035E11.5,,CTD-2035E11.5
218732_at,9.23807946344681,8.148498999620001,1.0895804638268096,15.13382502461177,4.036203428826452e-32,1.4768111402915615e-30,True,Upregulated,PTRH2,peptidyl-tRNA hydrolase 2,PTRH2
223878_at,3.302343041968085,2.21276363428,1.0895794076880851,6.591494077661545,2.5956545967985286e-09,1.1730936740055932e-08,True,Upregulated,INPP4B,"inositol polyphosphate-4-phosphatase, type II, 105kDa",INPP4B
214060_at,4.79427634612766,3.7048530124500005,1.0894233336776593,10.459959801657257,2.6638989945239963e-18,2.920515110466116e-17,True,Upregulated,SSBP1,"single-stranded DNA binding protein 1, mitochondrial",SSBP1
228597_at,8.18852282288298,7.099935176710001,1.0885876461729795,11.688998316550572,3.641910781578763e-22,5.614325402636726e-21,True,Upregulated,MIS18A,MIS18 kinetochore protein A,MIS18A
219539_at,8.097459741734044,7.009285529529999,1.088174212204045,13.692294322152643,3.9395130044711955e-29,1.1099562412702343e-27,True,Upregulated,GEMIN6,gem (nuclear organelle) associated protein 6,GEMIN6
228387_at,3.4379699485744686,2.3499832985399998,1.0879866500344688,8.843492596898347,4.6530934758667185e-14,3.409690540776122e-13,True,Upregulated,LINC01355,long intergenic non-protein coding RNA 1355,LINC01355
1559039_at,4.506269477180851,3.41850219149,1.087767285690851,7.912680263096009,5.824647643952655e-13,3.811766565770707e-12,True,Upregulated,DHX36,DEAH (Asp-Glu-Ala-His) box polypeptide 36,DHX36
207426_s_at,5.2141203869680846,4.12641501523,1.0877053717380845,6.785610643255612,3.551504305441222e-10,1.7524881703895557e-09,True,Upregulated,TNFSF4,"tumor necrosis factor (ligand) superfamily, member 4",TNFSF4
1558624_at,4.295600865787234,3.2081259239700004,1.0874749418172338,7.313287050824773,5.6969256561788174e-11,3.063229464592961e-10,True,Upregulated,CTB-181H17.1,,CTB-181H17.1
